Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
{{Poder}} + inf: ¿Puedes ayudarme?,Can you help me?,[sound:Poder__inf_Puedes_ayudarme_114d1c6b.mp3],Ability/permission pattern,,,basic,grammar pattern,1
{{Pon}} música.,{{Put on}} music.,[sound:Pon_música_6b8cf5f0.mp3],Poner = to put,,,basic,verb essential,1
{{Páreme}} aquí.,{{Stop}} here for me.,[sound:Páreme_aquí_6b204c77.mp3],Transportation command,Acá,,basic,verb command,1
{{Póngame}} un tinto.,{{Give me}} a black coffee.,[sound:Póngame_un_tinto_fe7fb6fe.mp3],Polite command with me,,,basic,verb command formal,1
{{Querer}} + inf: Quiero verte.,I want to see you.,[sound:Querer__inf_Quiero_verte_6524b329.mp3],Desire pattern,,,basic,grammar pattern,1
{{Quiero}} verte.,I {{want}} to see you.,[sound:Quiero_verte_78dd4aab.mp3],Querer = to want,,,basic,verb essential,1
{{Regálame}} una bolsa.,{{Give me}} a bag please.,[sound:Regálame_una_bolsa_b44f7ad9.mp3],Colombian polite request,,,basic,verb command colombian,1
{{Se}} fue.,{{He/She}} left.,[sound:Se_fue_b2ca7fb2.mp3],Se = reflexive/passive marker,,,basic,pronoun essential,1
{{Siga}} derecho.,{{Go}} straight.,[sound:Siga_derecho_16f561e0.mp3],Formal command,,,basic,verb command formal,1
{{Soy}} de Bogotá.,I {{am}} from Bogotá.,[sound:Soy_de_Bogotá_b61bb76a.mp3],Ser = to be (permanent),,,basic,verb essential,1
{{Tener}} que + inf: Tengo que irme.,I have to go.,[sound:Tener_que__inf_Tengo_que_irme_24a78f16.mp3],Obligation pattern,,,basic,grammar pattern,1
{{Te}} gusta.,{{You}} like it.,[sound:Te_gusta_59646add.mp3],Te = to you (informal),,,basic,pronoun essential,1
{{Te}} veo mañana.,I'll see {{you}} tomorrow.,[sound:Te_veo_mañana_d8e61696.mp3],Te = you (object with tú),,,basic,pronoun essential,1
{{Toca}} esperar.,We {{have to}} wait.,[sound:Toca_esperar_e434c08d.mp3],Tocar = to be necessary (Colombian),,,basic,verb colombian essential,1
{{Ven}} acá.,{{Come}} here.,[sound:Ven_acá_771c0978.mp3],Informal command,Aquí,,basic,verb command,1
{{Voy}} a casa.,I'm {{going}} home.,[sound:Voy_a_casa_07ebcb3d.mp3],Ir = to go,,,basic,verb essential,1
¿A qué hora te queda bien?,What time works for you?,[sound:A_qué_hora_te_queda_bien_2db47cd6.mp3],scheduling check,,,basic,pattern frame,1
¿Dónde {{estás}}?,Where {{are}} you?,[sound:Dónde_estás_6cffed1c.mp3],,,,basic,verb essential,1
¿Quieres que pase por ti?,Do you want me to pick you up?,[sound:Quieres_que_pase_por_ti_e3321df0.mp3],,,,basic,pattern frame,1
¿Quieres que te acompañe?,Do you want me to go with you?,[sound:Quieres_que_te_acompañe_6825b5b7.mp3],,,,basic,pattern frame,1
¿Quieres que te llame?,Do you want me to call you?,[sound:Quieres_que_te_llame_722d331f.mp3],,,,basic,pattern frame,1
¿Quieres que te traiga algo?,Do you want me to bring you something?,[sound:Quieres_que_te_traiga_algo_12b7ff10.mp3],,,,basic,pattern frame,1
¿Quieres que {{te pida}} un taxi?,Do you want me to {{order you}} a taxi?,[sound:Quieres_que_te_pida_un_taxi_6dfe20bd.mp3],Frame: ¿Quieres que + subjunctive?,,,basic,pattern essential frame,1
¿Qué {{haces}}?,What are you {{doing}}?,[sound:Qué_haces_d68f3483.mp3],Hacer = to do/make,,,basic,verb essential,1
¿Te parece si comemos?,How about we eat?,[sound:Te_parece_si_comemos_2440ff61.mp3],gentle proposal,,,basic,pattern frame,1
¿Te parece si hablamos mañana?,How about we talk tomorrow?,[sound:Te_parece_si_hablamos_mañana_b1833d43.mp3],gentle proposal,,,basic,pattern frame,1
¿Te parece si lo dejamos para otro día?,How about we leave it for another day?,[sound:Te_parece_si_lo_dejamos_para_otro_día_26d1ac0e.mp3],gentle proposal,,,basic,pattern frame,1
¿Te parece si nos vemos más tarde?,How about we meet later?,[sound:Te_parece_si_nos_vemos_más_tarde_d2daa1b0.mp3],gentle proposal,,,basic,pattern frame,1
¿Te parece si {{vamos}}?,How about we {{go}}?,[sound:Te_parece_si_vamos_5b384b57.mp3],gentle proposal,¿Te animas a,,basic,pattern essential frame,1
¿Te queda bien mañana?,Does tomorrow work for you?,[sound:Te_queda_bien_mañana_3728d6a0.mp3],scheduling check,¿Te sirve,,cloze,pattern frame,1
¿Te queda bien por la tarde?,Does afternoon work for you?,[sound:Te_queda_bien_por_la_tarde_547377d7.mp3],scheduling check,¿Te sirve,,basic,pattern frame,1
¿Te queda bien {{a las siete}}?,Does {{seven}} work for you?,[sound:Te_queda_bien_a_las_siete_2c5f08ae.mp3],scheduling check,¿Te sirve,,basic,pattern essential frame,1
¿Te sirve así?,Does that work for you?,[sound:Te_sirve_así_f5e231f2.mp3],,¿Te queda bien,,basic,pattern frame,1
¿Todavía estás ahí?,Are you still there?,[sound:Todavía_estás_ahí_b0d9d7c8.mp3],still/yet,,,basic,pattern frame,1
¿Vas a venir?,Are you going to come?,[sound:Vas_a_venir_09f5d587.mp3],,,,basic,pattern frame,1
¿{{La}} tienes?,Do you have {{it}}?,[sound:La_tienes_1ae7e9ad.mp3],La = it (feminine object),,,basic,pronoun essential,1
¿{{Lo}} tienes?,Do you have {{it}}?,[sound:Lo_tienes_9d726b4d.mp3],Lo = it (masculine object),,,basic,pronoun essential,1
¿{{Puedes}} venir?,{{Can}} you come?,[sound:Puedes_venir_70658f01.mp3],,,,basic,verb essential,1
¿{{Quieres}} salir?,Do you {{want}} to go out?,[sound:Quieres_salir_3c9fa50b.mp3],Querer question form,,,basic,verb essential,1
¿{{Tienes}} hambre?,Are you {{hungry}}?,[sound:Tienes_hambre_d0430531.mp3],Lit: Do you have hunger?,,,basic,verb essential,1
¿{{Tú}} quieres café?,Do {{you}} want coffee?,[sound:Tú_quieres_café_8f15cfd2.mp3],informal/intimate,,,basic,pronoun essential,1
¿{{Usted}} quiere café?,Do {{you}} want coffee?,[sound:Usted_quiere_café_569425f9.mp3],formal/affectionate,,,basic,pronoun formal,1
¿{{Vas}} a venir?,Are you {{going}} to come?,[sound:Vas_a_venir_3ac0b184.mp3],Ir in future construction,,,basic,verb essential,1
A mano derecha,Dude...,[sound:A_mano_derecha_6b6118a3.mp3],,,,basic,directions,2
A mano izquierda,Dude...,[sound:A_mano_izquierda_4a8afbe5.mp3],,,,basic,directions,2
Ahí nos vemos,See you there,[sound:Ahí_nos_vemos_1ab98a37.mp3],arranging plans,,,basic,daily plans,2
Ando en la calle,I'm out and about,[sound:Ando_en_la_calle_2262f982.mp3],Colombian,,,basic,daily location,2
Aquí se descansa rumbiando,[Aquí se descansa rumbiando...],[sound:Aquí_se_descansa_rumbiando_a0760ab2.mp3],,Acá,,basic,directions,2
Así me gusta,[Así me gusta],[sound:Así_me_gusta_7780bce0.mp3],,,,basic,daily,2
Bájate aquí,[Bájate aquí],[sound:Bájate_aquí_6cde0395.mp3],,Acá,,basic,directions,2
Cinco minutos más,Five more minutes,[sound:Cinco_minutos_más_d7cdf37c.mp3],daily routine,,,basic,daily sleeping,2
Confirmado,Confirmed,[sound:Confirmado_f4594f46.mp3],arranging plans,,,basic,daily plans,2
Dejemos las cosas aquí yo las cuido,[Dejemos las cosas aquí yo las ...],[sound:Dejemos_las_cosas_aquí_yo_las_cuido_42bff819.mp3],,Acá,,basic,directions,2
Dónde estás,Where...,[sound:Dónde_estás_8e9e13ad.mp3],,,,basic,directions,2
Dónde nos encontramos,Where...,[sound:Dónde_nos_encontramos_d9466401.mp3],,,,basic,directions,2
Dónde nos vemos,See you...,[sound:Dónde_nos_vemos_11d9657b.mp3],see you,,,basic,daily,2
Dónde queda el baño,Where...,[sound:Dónde_queda_el_baño_a68c0fef.mp3],,,,basic,directions,2
Dónde queda la vuelta,Where...,[sound:Dónde_queda_la_vuelta_42ee28a7.mp3],,,,basic,directions,2
El tráfico está horrible,The traffic is horrible,[sound:El_tráfico_está_horrible_084a8515.mp3],daily routine,,,basic,daily traffic,2
Eres la única razón por la que me gusta ,[Eres la única razón por la que...],[sound:Eres_la_única_razón_por_la_que_me_gusta__8cd4a105.mp3],,,,basic,daily,2
Estoy acostada,I'm lying down (female),[sound:Estoy_acostada_31fdf050.mp3],daily routine,,,basic,daily resting,2
Estoy acostado,I'm lying down (male),[sound:Estoy_acostado_bc4b0a08.mp3],daily routine,,,basic,daily resting,2
Estoy afuera,I'm outside,[sound:Estoy_afuera_470cadd6.mp3],daily routine,,,basic,daily arrival,2
Estoy almorzando,I'm having lunch,[sound:Estoy_almorzando_1da26d24.mp3],daily routine,,,basic,daily eating,2
Estoy atascado en el tráfico,I'm stuck in traffic (male),[sound:Estoy_atascado_en_el_tráfico_14f6d5f4.mp3],daily routine,,,basic,daily traffic,2
Estoy cansada,I'm tired (female),[sound:Estoy_cansada_a11da179.mp3],daily routine,,,basic,daily tired,2
Estoy cansado,I'm tired (male),[sound:Estoy_cansado_50bb122a.mp3],daily routine,,,basic,daily tired,2
Estoy cenando,I'm having dinner,[sound:Estoy_cenando_3c081b6b.mp3],daily routine,,,basic,daily eating,2
Estoy comiendo,I'm eating,[sound:Estoy_comiendo_1065caeb.mp3],daily routine,,,basic,daily eating,2
Estoy desayunando,I'm having breakfast,[sound:Estoy_desayunando_5ce552f7.mp3],daily routine,,,basic,daily eating,2
Estoy descansando,I'm resting,[sound:Estoy_descansando_81a054be.mp3],daily routine,,,basic,daily resting,2
Estoy durmiendo,I'm sleeping,[sound:Estoy_durmiendo_0fc743d5.mp3],daily routine,,,basic,daily sleeping,2
Estoy en casa,I'm at home,[sound:Estoy_en_casa_afaf45fe.mp3],daily routine,,,basic,daily location,2
Estoy en el Uber,I'm in the Uber,[sound:Estoy_en_el_Uber_1467f92b.mp3],daily routine,,,basic,daily transit,2
Estoy en el bus,I'm on the bus,[sound:Estoy_en_el_bus_ec6c5232.mp3],daily routine,,,basic,daily transit,2
Estoy en el centro,I'm downtown,[sound:Estoy_en_el_centro_e42a6e82.mp3],daily routine,,,basic,daily location,2
Estoy en el trabajo,I'm at work,[sound:Estoy_en_el_trabajo_7ff5ea3c.mp3],daily routine,,,basic,daily work,2
Estoy en la calle,I'm out/on the street,[sound:Estoy_en_la_calle_d66cc4ba.mp3],daily routine,,,basic,daily location,2
Estoy en pijama todavía,I'm still in pajamas,[sound:Estoy_en_pijama_todavía_a6dc00dc.mp3],daily routine,,,basic,daily getting_ready,2
Estoy en una reunión,I'm in a meeting,[sound:Estoy_en_una_reunión_eeeed91a.mp3],daily routine,,,basic,daily busy work,2
Estoy esperándote,I'm waiting for you,[sound:Estoy_esperándote_6e6bbf63.mp3],daily routine,,,basic,daily waiting,2
Estoy estudiando,I'm studying,[sound:Estoy_estudiando_dd0a0e14.mp3],daily routine,,,basic,daily studying,2
Estoy haciendo diligencias,I'm doing errands,[sound:Estoy_haciendo_diligencias_3a5b0728.mp3],daily routine,,,basic,daily errands,2
Estoy haciendo tarea,I'm doing homework,[sound:Estoy_haciendo_tarea_46da5b6d.mp3],daily routine,,,basic,daily studying,2
Estoy haciendo vueltas,I'm running errands,[sound:Estoy_haciendo_vueltas_caf84d10.mp3],Colombian,,,basic,daily errands,2
Estoy llena,I'm full (female),[sound:Estoy_llena_b197c689.mp3],daily routine,,,basic,daily eating,2
Estoy lleno,I'm full (male),[sound:Estoy_lleno_2f43e4b6.mp3],daily routine,,,basic,daily eating,2
Estoy mamada,I'm exhausted (female slang),[sound:Estoy_mamada_72593e0f.mp3],Colombian slang,,,basic,daily tired,2
Estoy muerta,I'm dead tired (female),[sound:Estoy_muerta_4da8d2e1.mp3],daily routine,,,basic,daily tired,2
Estoy muerto,I'm dead tired (male),[sound:Estoy_muerto_9ee68508.mp3],daily routine,,,basic,daily tired,2
Estoy ocupada,I'm busy (female),[sound:Estoy_ocupada_ce3778b6.mp3],daily routine,,,basic,daily busy,2
Estoy ocupado,I'm busy (male),[sound:Estoy_ocupado_4e37bb97.mp3],daily routine,,,basic,daily busy,2
Estoy pegado,I'm stuck (can't leave),[sound:Estoy_pegado_670c53ec.mp3],Colombian slang,,,basic,daily stuck,2
Estoy por ahí,I'm around,[sound:Estoy_por_ahí_da650131.mp3],Colombian,,,basic,daily location,2
Estoy saliendo,I'm heading out,[sound:Estoy_saliendo_95bb62fc.mp3],daily routine,,,basic,daily leaving,2
Estoy saliendo de casa,I'm leaving home,[sound:Estoy_saliendo_de_casa_c9a67305.mp3],daily routine,,,basic,daily location,2
Estoy trabajando,I'm working,[sound:Estoy_trabajando_189e747a.mp3],daily routine,,,basic,daily work,2
Estoy trasnochada,I stayed up late (female),[sound:Estoy_trasnochada_a825efbd.mp3],Colombian,,,basic,daily tired,2
Estoy trasnochado,I stayed up late (male),[sound:Estoy_trasnochado_ea63a85e.mp3],Colombian,,,basic,daily tired,2
Está lejos o cerquita,[Está lejos o cerquita...],[sound:Está_lejos_o_cerquita_efc1c520.mp3],,,,basic,directions,2
Hasta luego un abrazo,See you later...,[sound:Hasta_luego_un_abrazo_ba72f1b0.mp3],,,,basic,daily,2
Hay mucho trancón,There's heavy traffic,[sound:Hay_mucho_trancón_4b70763a.mp3],Colombian,,,basic,daily traffic,2
Listo entonces,Ok then,[sound:Listo_entonces_90e66fd6.mp3],arranging plans,,,basic,daily plans,2
Llegué al hotel todo bien,[all good...],[sound:Llegué_al_hotel_todo_bien_90fbf5c1.mp3],,Tranqui,,basic,daily,2
Me acabo de bañar,I just showered,[sound:Me_acabo_de_bañar_54195131.mp3],daily routine,,,basic,daily hygiene,2
Me acabo de despertar,I just woke up,[sound:Me_acabo_de_despertar_cb9f33e2.mp3],daily routine,,,basic,daily sleeping,2
Me acosté tarde,I went to bed late,[sound:Me_acosté_tarde_f3fdd720.mp3],daily routine,,,basic,daily sleeping,2
Me da pereza levantarme,I'm too lazy to get up,[sound:Me_da_pereza_levantarme_994704e4.mp3],Colombian,,,basic,daily sleeping lazy,2
Me demoré,I got delayed,[sound:Me_demoré_df3e81d6.mp3],daily routine,,,basic,daily late,2
Me estoy alistando,I'm getting ready,[sound:Me_estoy_alistando_c2e6dd8d.mp3],daily routine,,,basic,daily getting_ready,2
Me estoy arreglando,I'm getting dressed/ready,[sound:Me_estoy_arreglando_3037113d.mp3],daily routine,,,basic,daily getting_ready,2
Me estoy bañando,I'm showering,[sound:Me_estoy_bañando_ed3c7cd5.mp3],daily routine,,,basic,daily hygiene,2
Me gusta cómo me miras,How...,[sound:Me_gusta_cómo_me_miras_b1f221ff.mp3],,,,basic,daily,2
Me gusta cómo somos juntos,How...,[sound:Me_gusta_cómo_somos_juntos_f3623bea.mp3],,,,basic,daily,2
Me gustas mucho,I really like you,[sound:Me_gustas_mucho_4df79657.mp3],,,,basic,daily,2
Me gustas más que un día festivo con pue,I like you...,[sound:Me_gustas_más_que_un_día_festivo_con_pue_22b89c8a.mp3],,,,basic,daily,2
Me gustas para algo serio,I like you...,[sound:Me_gustas_para_algo_serio_b8df84fe.mp3],,,,basic,daily,2
Me muero de hambre,I'm starving,[sound:Me_muero_de_hambre_d0ad2147.mp3],daily routine,,,basic,daily eating,2
Me quedé dormida,I overslept (female),[sound:Me_quedé_dormida_e36c5cc8.mp3],daily routine,,,basic,daily sleeping,2
Me quedé dormido,I overslept (male),[sound:Me_quedé_dormido_d962dd62.mp3],daily routine,,,basic,daily sleeping,2
Mejor mañana,Better tomorrow,[sound:Mejor_mañana_892a8927.mp3],arranging plans,,,basic,daily plans,2
No estoy en casa,I'm not home,[sound:No_estoy_en_casa_36c532c2.mp3],daily routine,,,basic,daily location,2
No he dormido bien,I haven't slept well,[sound:No_he_dormido_bien_1e7c69bf.mp3],daily routine,,,basic,daily sleeping,2
No me puedo mover,I can't move/leave,[sound:No_me_puedo_mover_afdab1d3.mp3],daily routine,,,basic,daily stuck,2
No me quiero levantar,I don't want to get up,[sound:No_me_quiero_levantar_be59bf2b.mp3],daily routine,,,basic,daily sleeping,2
No sonó la alarma,The alarm didn't go off,[sound:No_sonó_la_alarma_ac696fe0.mp3],daily routine,,,basic,daily sleeping,2
Nos quedamos aquí o vamos allá,[Nos quedamos aquí o vamos allá...],[sound:Nos_quedamos_aquí_o_vamos_allá_3759783f.mp3],,Acá,,basic,directions,2
Nos sentamos aquí,[Nos sentamos aquí],[sound:Nos_sentamos_aquí_7dccc25b.mp3],,Acá,,basic,directions,2
Nos vemos aquí o allá,See you...,[sound:Nos_vemos_aquí_o_allá_9364ba9c.mp3],see you,Acá,,basic,daily,2
Nos vemos mañana cuídate mucho,See you...,[sound:Nos_vemos_mañana_cuídate_mucho_f8f9d472.mp3],see you,,,basic,daily,2
Perdón la demora,Sorry for the delay,[sound:Perdón_la_demora_e65cbb42.mp3],daily routine,,,basic,daily late,2
Por allá,That way,[sound:Por_allá_13241497.mp3],,,,basic,directions,2
Por dónde queda,Where...,[sound:Por_dónde_queda_7c5ecca2.mp3],,,,basic,directions,2
Prefieres que vaya yo hasta allá,Already/Now...,[sound:Prefieres_que_vaya_yo_hasta_allá_7032c350.mp3],now/already,,,basic,directions,2
Quiubo todo bien,[all good...],[sound:Quiubo_todo_bien_175bf13b.mp3],,Tranqui,,basic,daily,2
Qué pereza levantarse,What a drag to get up,[sound:Qué_pereza_levantarse_1038c9da.mp3],Colombian,,,basic,daily sleeping lazy,2
Salgo del trabajo a las seis,I get off work at six,[sound:Salgo_del_trabajo_a_las_seis_6a526c74.mp3],daily routine,,,basic,daily work,2
Se me hizo tarde,I'm running late,[sound:Se_me_hizo_tarde_9924bd51.mp3],daily routine,,,basic,daily late,2
Se me pegaron las cobijas,The blankets stuck to me (overslept),[sound:Se_me_pegaron_las_cobijas_f90a2599.mp3],Colombian idiom,,,basic,daily sleeping,2
Sigue derecho,[Sigue derecho],[sound:Sigue_derecho_dd76f32d.mp3],,,,basic,directions,2
Sigue derecho dos cuadras,[Sigue derecho dos cuadras...],[sound:Sigue_derecho_dos_cuadras_f7c7bb22.mp3],,,,basic,directions,2
Somos amigos con derechos,[Somos amigos con derechos...],[sound:Somos_amigos_con_derechos_009c7a96.mp3],,,,basic,directions,2
Te escribo cuando salga,I'll text you when I leave,[sound:Te_escribo_cuando_salga_9a3fd868.mp3],arranging plans,,,basic,daily plans,2
Te estoy esperando,I'm waiting for you,[sound:Te_estoy_esperando_cc29e906.mp3],daily routine,,,basic,daily waiting,2
Te recojo o nos vemos allá,See you...,[sound:Te_recojo_o_nos_vemos_allá_bf0a37c7.mp3],see you,,,basic,daily,2
Tengo hambre,I'm hungry,[sound:Tengo_hambre_eff04da6.mp3],daily routine,,,basic,daily eating,2
Tengo mucho que hacer,I have a lot to do,[sound:Tengo_mucho_que_hacer_c0e23551.mp3],daily routine,,,basic,daily busy,2
Tengo que estudiar,I have to study,[sound:Tengo_que_estudiar_0b413a4f.mp3],daily routine,,,basic,daily studying,2
Tengo sueño,I'm sleepy,[sound:Tengo_sueño_3281efbe.mp3],daily routine,,,basic,daily sleeping,2
Todo bien o qué,[all good...],[sound:Todo_bien_o_qué_6a409d78.mp3],,Tranqui,,basic,daily,2
Todo bien por acá,[all good...],[sound:Todo_bien_por_acá_1cd0439b.mp3],,Aquí,,basic,daily,2
Todo bien por allá,[all good...],[sound:Todo_bien_por_allá_6f5cfc07.mp3],,Tranqui,,basic,daily,2
Todo bien todo bien,[all good...],[sound:Todo_bien_todo_bien_a031c1ec.mp3],,Tranqui,,basic,daily,2
Todo bien tranquila,[all good...],[sound:Todo_bien_tranquila_71cbf918.mp3],soften/decline,Todo bien,,basic,daily,2
Tranqui todo bien,[all good...],[sound:Tranqui_todo_bien_027d8f18.mp3],soften/decline,Todo bien,,basic,daily,2
Voltea a la derecha,[Voltea a la derecha],[sound:Voltea_a_la_derecha_ae8e8e06.mp3],,,,basic,directions,2
Voltea a la izquierda,[Voltea a la izquierda...],[sound:Voltea_a_la_izquierda_d336e8ff.mp3],,,,basic,directions,2
Voy a bañarme,I'm going to shower,[sound:Voy_a_bañarme_63429ae5.mp3],daily routine,,,basic,daily hygiene,2
Voy a comer,I'm going to eat,[sound:Voy_a_comer_188cee10.mp3],daily routine,,,basic,daily eating,2
Voy en camino,I'm on the way,[sound:Voy_en_camino_a95313bb.mp3],daily routine,,,basic,daily transit,2
Voy para tu casa,I'm heading to your place,[sound:Voy_para_tu_casa_a4c6a7e5.mp3],daily routine,,,basic,daily location,2
Voy tarde,I'm late,[sound:Voy_tarde_ec9423ce.mp3],daily routine,,,basic,daily late,2
Ya casi estoy lista,I'm almost ready (female),[sound:Ya_casi_estoy_lista_6984088c.mp3],daily routine,,,basic,daily getting_ready,2
Ya casi estoy listo,I'm almost ready (male),[sound:Ya_casi_estoy_listo_93f8d38b.mp3],daily routine,,,basic,daily getting_ready,2
Ya comí,I already ate,[sound:Ya_comí_ff95b180.mp3],daily routine,,,basic,daily eating,2
Ya llegué a casa,I just got home,[sound:Ya_llegué_a_casa_1956c293.mp3],daily routine,,,basic,daily location,2
Ya salgo,I'm leaving now,[sound:Ya_salgo_7b201d5a.mp3],daily routine,,,basic,daily leaving,2
Ya salí del trabajo,I just left work,[sound:Ya_salí_del_trabajo_39342f26.mp3],daily routine,,,basic,daily work,2
Ya voy para allá,I'm on my way there,[sound:Ya_voy_para_allá_91fa5b8e.mp3],daily routine,,,basic,daily transit,2
¿A qué hora nos vemos?,What time shall we meet?,[sound:A_qué_hora_nos_vemos_c15bcf87.mp3],arranging plans,,,basic,daily plans,2
¿Cuánto te demoras?,How long will you take?,[sound:Cuánto_te_demoras_834a2b1c.mp3],daily routine,,,basic,daily waiting,2
¿Dónde estás?,Where are you?,[sound:Dónde_estás_8e9e13ad.mp3],daily routine,,,basic,daily waiting,2
¿Dónde nos vemos?,Where shall we meet?,[sound:Dónde_nos_vemos_11d9657b.mp3],arranging plans,,,basic,daily plans,2
¿Estás libre?,Are you free?,[sound:Estás_libre_d191c638.mp3],arranging plans,,,basic,daily plans,2
¿Nos vemos hoy?,Shall we meet today?,[sound:Nos_vemos_hoy_9206c7d1.mp3],arranging plans,,,basic,daily plans,2
¿Puedes hoy?,Can you today?,[sound:Puedes_hoy_0d166b9c.mp3],arranging plans,,,basic,daily plans,2
¿Qué vas a hacer hoy?,What are you doing today?,[sound:Qué_vas_a_hacer_hoy_2929e1c2.mp3],arranging plans,,,basic,daily plans,2
¿Te parece si nos vemos a las siete?,How about we meet at seven?,[sound:Te_parece_si_nos_vemos_a_las_siete_2596c79d.mp3],arranging plans,,,basic,daily plans,2
¿Tienes planes hoy?,Do you have plans today?,[sound:Tienes_planes_hoy_38ae4ed1.mp3],arranging plans,,,basic,daily plans,2
¿Ya comiste?,Did you eat already?,[sound:Ya_comiste_ae324679.mp3],daily routine,,,basic,daily eating,2
¿Ya vienes?,Are you coming?,[sound:Ya_vienes_2211f3e0.mp3],daily routine,,,basic,daily waiting,2
A cómo está,How...,[sound:A_cómo_está_7e5fbc0f.mp3],,,,basic,general,3
A qué hora es la función,What...,[sound:A_qué_hora_es_la_función_f10882aa.mp3],,,,basic,general,3
A qué hora te sirve,What...,[sound:A_qué_hora_te_sirve_7fbe70b4.mp3],,,,basic,general,3
A qué horas,What...,[sound:A_qué_horas_ef403379.mp3],,,,basic,general,3
A ver si puedes,[A ver si puedes],[sound:A_ver_si_puedes_433ee139.mp3],,,,basic,general,3
Abrázame,[Abrázame],[sound:Abrázame_4dbb5e85.mp3],,,,basic,general,3
Aceptan tarjeta,[Aceptan tarjeta],[sound:Aceptan_tarjeta_40520836.mp3],,,,basic,general,3
Aceptan transferencia o Nequi,[Aceptan transferencia o Nequi...],[sound:Aceptan_transferencia_o_Nequi_b04b29d6.mp3],,,,basic,general,3
Acepto la invitación,[Acepto la invitación...],[sound:Acepto_la_invitación_fd3b9302.mp3],,,,basic,general,3
Acuéstate conmigo,[Acuéstate conmigo],[sound:Acuéstate_conmigo_561be82c.mp3],,,,basic,general,3
Acércate,[Acércate],[sound:Acércate_847ca0ad.mp3],,,,basic,general,3
Ahorita mismo,Right now...,[sound:Ahorita_mismo_355dce7b.mp3],right now (CO),,,basic,general,3
Ahí hablamos,[Ahí hablamos],[sound:Ahí_hablamos_f9524e57.mp3],,,,basic,general,3
Ahí vamos,[Ahí vamos],[sound:Ahí_vamos_43a927e2.mp3],,¿Te animas a,,basic,general,3
Al frente de,[Al frente de],[sound:Al_frente_de_b46717b6.mp3],,,,basic,general,3
Al lado de,[Al lado de],[sound:Al_lado_de_a074935e.mp3],,,,basic,general,3
Algo suave o con alcohol,[Algo suave o con alcohol...],[sound:Algo_suave_o_con_alcohol_3f1120d3.mp3],,,,basic,general,3
Almorzamos juntos mañana,Tomorrow...,[sound:Almorzamos_juntos_mañana_ac136b02.mp3],,,,basic,general,3
Almorzaste ya,Already/Now...,[sound:Almorzaste_ya_7bf5c1f8.mp3],now/already,,,basic,general,3
Almuerzo y cena también,[Almuerzo y cena también...],[sound:Almuerzo_y_cena_también_9fdea585.mp3],,,,basic,general,3
Alquilamos sombrilla,[Alquilamos sombrilla...],[sound:Alquilamos_sombrilla_4f17596d.mp3],,,,basic,general,3
Anterior,[Anterior],[sound:Anterior_4826ce9c.mp3],,,,basic,general,3
Antier,[Antier],[sound:Antier_d8780eee.mp3],,,,basic,general,3
Aprecio mucho lo que haces por mí,[Aprecio mucho lo que haces por...],[sound:Aprecio_mucho_lo_que_haces_por_mí_c6cf1988.mp3],,,,basic,general,3
Así está perfecto,[Así está perfecto],[sound:Así_está_perfecto_efa1e842.mp3],,,,basic,general,3
Avísame cuando llegues,Let me know when you arrive,[sound:Avísame_cuando_llegues_e0306ae9.mp3],,,,basic,general,3
Ay Dios,[Ay Dios],[sound:Ay_Dios_51881fd3.mp3],,,,basic,general,3
Ay papámamá,[Ay papámamá],[sound:Ay_papámamá_e47e1cc3.mp3],,,,basic,general,3
Ay sí,[Ay sí],[sound:Ay_sí_e5b512ce.mp3],,,,basic,general,3
Bacán,[Bacán],[sound:Bacán_a411525a.mp3],,Aquí,,basic,general,3
Bailamos,[Bailamos],[sound:Bailamos_fd5cc75d.mp3],,,,basic,general,3
Bailamos pegaditos,[Bailamos pegaditos],[sound:Bailamos_pegaditos_e84454d9.mp3],,,,basic,general,3
Bebé,Baby,[sound:Bebé_70953b9a.mp3],,,,basic,general,3
Bien o no,[Bien o no],[sound:Bien_o_no_8112f5d5.mp3],,,,basic,general,3
Bien o pal perro,[Bien o pal perro],[sound:Bien_o_pal_perro_dcbf74c5.mp3],,,,basic,general,3
Bien o qué,What...,[sound:Bien_o_qué_32bbe198.mp3],,,,basic,general,3
Brindamos,[Brindamos],[sound:Brindamos_1a1595fc.mp3],,,,basic,general,3
Buenas Cómo vas,Hey! How's it going?,[sound:Buenas_Cómo_vas_b946519c.mp3],,,,basic,general,3
Bájale un poquito a la música porfa,Please (casual)...,[sound:Bájale_un_poquito_a_la_música_porfa_240132de.mp3],,Por favor,,basic,general,3
Bésame,[Bésame],[sound:Bésame_c061a18f.mp3],,,,basic,general,3
Bésame todo,[Bésame todo],[sound:Bésame_todo_620470a0.mp3],,,,basic,general,3
Cachái,[Cachái],[sound:Cachái_d1d93622.mp3],,,,basic,general,3
Cada día entiendo un poquito más,[Cada día entiendo un poquito m...],[sound:Cada_día_entiendo_un_poquito_más_96492289.mp3],,,,basic,general,3
Caminamos por la orilla,[Caminamos por la orilla...],[sound:Caminamos_por_la_orilla_f5d46bde.mp3],,,,basic,general,3
Caminemos un rato,[Caminemos un rato],[sound:Caminemos_un_rato_3424aa40.mp3],,,,basic,general,3
Chao hablamos más tarde,Bye...,[sound:Chao_hablamos_más_tarde_a1559c02.mp3],,,,basic,general,3
