Spanish,English,Enhanced_Notes
Que {{te vaya}} bien.,Hope {{it goes}} well for you.,"now/already

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Que {{te vaya}} bien."" = Hope {{it goes}} well for you.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Quiero estar contigo,I want to be with you,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Quiero estar contigo"" = I want to be with you

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Quince,fifteen,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Quince"" = fifteen

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Se me acabó la plata.,I ran out of money.,"ran out on me

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Se me acabó la plata."" = I ran out of money.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Se me cayó.,I dropped it (it fell from me).,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Se me cayó."" = I dropped it (it fell from me).

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Se me descargó el celular,My phone died,"died on me

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Se me descargó el celular"" = My phone died

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Se me descargó el celular.,My phone died (on me).,"died on me

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Se me descargó el celular."" = My phone died (on me).

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Se me hizo tarde.,I got late (it happened to me).,"got late on me

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Se me hizo tarde."" = I got late (it happened to me).

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Se me perdieron las llaves.,I lost my keys (they got lost on me).,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Se me perdieron las llaves."" = I lost my keys (they got lost on me).

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Se me {{olvidó}}.,I {{forgot}}.,"Frame: Se me + verb (unintentional)

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Se me {{olvidó}}."" = I {{forgot}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Seis,six,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Seis"" = six

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Siete,seven,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Siete"" = seven

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Te aviso.,I'll let you know.,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Te aviso."" = I'll let you know.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Te llamo más tarde.,I'll call you later.,"I'll call you

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Te llamo más tarde."" = I'll call you later.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Te mando la ubicación.,I'll send you the location.,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Te mando la ubicación."" = I'll send you the location.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Te {{escribo}} cuando llegue.,I'll {{text}} you when I arrive.,"Frame: Te + verb (future promise)

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Te {{escribo}} cuando llegue."" = I'll {{text}} you when I arrive.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Todavía estoy aquí.,I'm still here.,"still/yet

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Todavía estoy aquí."" = I'm still here.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Todavía no.,Not yet.,"still/yet

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Todavía no."" = Not yet.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Trece,thirteen,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Trece"" = thirteen

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
