Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Estuvo increíble,It was incredible / That was amazing,[sound:Estuvo_increíble_38354c05.mp3],Past tense praise/reaction. Example: 'La fiesta estuvo increíble' (The party was incredible) or 'El concierto estuvo increíble' (The concert was amazing),Praise for past experience,,basic,general,3
Está bien así,It's fine like this / That's good as is,[sound:Está_bien_así_bf4333b0.mp3],"Acceptance of current state. Example: 'No cambies nada, está bien así' (Don't change anything, it's fine like this)",Acceptance of current state,,basic,general,3
Está cerquita,It's very close / It's right nearby,[sound:Está_cerquita_15198eb1.mp3],"Colombian diminutive of 'cerca'. Means very close/nearby. Example: 'El restaurante está cerquita, podemos caminar' (The restaurant is very close, we can walk)",Colombian: very close/nearby,,basic,general,3
Está haciendo calor,It's hot / It's getting hot,[sound:Está_haciendo_calor_baad6acb.mp3],"Weather observation. Common in Colombian lowlands (Cartagena, Cali). Example: 'Está haciendo mucho calor, vamos a la piscina' (It's very hot, let's go to the pool)",Weather: it's hot,,basic,general,3
Está haciendo frío,It's cold / It's getting cold,[sound:Está_haciendo_frío_e3bf57e3.mp3],"Weather observation. Common in Bogotá, highlands. Example: 'Está haciendo frío, trae chaqueta' (It's cold, bring a jacket)",Weather: it's cold,,basic,general,3
Está lejitos,It's pretty far / It's quite far away,[sound:Está_lejitos_236f2c53.mp3],"Colombian diminutive of 'lejos'. Soften 'far' with diminutive. Example: 'Está lejitos, mejor tomemos un taxi' (It's pretty far, better take a taxi)",Colombian: pretty far,,basic,general,3
Estás buenísima,You're smoking hot (feminine),[sound:Estás_buenísima_c531b894.mp3],"Strong attraction compliment to a woman. 'Buenísima' = superlative of 'buena' (hot/attractive). Can be objectifying, context matters. Example (among friends): 'Esa mujer está buenísima'",Strong attraction | Can be objectifying,,basic,general,3
Estás buenísimo,You're smoking hot (masculine),[sound:Estás_buenísimo_4ddc55aa.mp3],Strong attraction compliment to a man. 'Buenísimo' = superlative of 'bueno' (hot/attractive). Example: 'Ese man está buenísimo' (That guy is smoking hot),Strong attraction | Masculine,,basic,general,3
Estás provocándome,You're provoking me / You're tempting me / You're teasing me,[sound:Estás_provocándome_6c35966b.mp3],Accusation of provocation/temptation. Can be flirtatious or serious. Example (flirty): 'Estás provocándome con esa ropa' (You're provoking me with those clothes),Provocation/temptation | Often flirty,,basic,general,3
Examiname,Examine me,[sound:Examiname_9879593c.mp3],"Imperative request to examine. Can be medical or flirtatious ('doctor/patient' roleplay). Example (medical): 'Doctor, examiname la garganta' or (flirty): 'Examiname completo, doctor'",Medical or flirty examination request,,basic,general,3
Foto,Photo / Picture,[sound:Foto_ac2b7c8f.mp3],Short for 'fotografía'. Example: 'Tomemos una foto' (Let's take a photo) or '¿Me mandas foto?' (Will you send me a photo?),Photo/picture,,basic,general,3
Gato,Cat,[sound:Gato_fcfb85cd.mp3],"Animal cat. Also Colombian slang for 'servant' or 'person who does errands', but primarily means cat. Example: 'Tengo un gato en casa' (I have a cat at home)",Cat | Also slang for servant/errand person,,basic,general,3
Hace rato,A while ago / Some time ago,[sound:Hace_rato_53662176.mp3],Time expression meaning 'a while ago'. Example: 'Te llamé hace rato pero no contestaste' (I called you a while ago but you didn't answer),Time: a while ago,,basic,general,3
Hace un momentico,A moment ago / Just a moment ago,[sound:Hace_un_momentico_5ed841d1.mp3],Colombian diminutive. Recent past. Example: 'Llegó hace un momentico' (He/she arrived just a moment ago),Colombian: just a moment ago,,basic,general,3
Hacemos ejercicio,Let's exercise / We exercise / Should we work out?,[sound:Hacemos_ejercicio_275b67a5.mp3],Suggestion or statement about exercising. Can be literal or euphemism. Example: '¿Hacemos ejercicio en el gimnasio?' (Should we work out at the gym?) or flirty: 'Hacemos ejercicio en mi cuarto?' (sexual euphemism),Exercise | Literal or euphemism,,basic,general,3
Haciendo la de mico,Acting like a monkey / Fooling around / Being silly,[sound:Haciendo_la_de_mico_fc6cbd96.mp3],Colombian expression. 'Mico' = monkey. Means acting silly/foolishly. Example: 'Deja de hacer la de mico y ponte serio' (Stop fooling around and get serious),Colombian: acting silly/foolish,,basic,general,3
Hagamos algo romántico,Let's do something romantic,[sound:Hagamos_algo_romántico_a5dc2cb5.mp3],"Suggestion for romantic activity. Example: 'Hagamos algo romántico esta noche, cenemos con velas' (Let's do something romantic tonight, let's have dinner by candlelight)",Romantic activity suggestion,,basic,general,3
Hagamos cardio,Let's do cardio,[sound:Hagamos_cardio_3c1444d4.mp3],"Exercise suggestion. Can be literal (running, gym) or sexual euphemism. Example literal: 'Hagamos cardio en el parque' or euphemism (sex as cardio workout).",Cardio exercise | Can be euphemism,,basic,general,3
Hartico,Fed up / Tired of it / Had enough,[sound:Hartico_db727660.mp3],Colombian diminutive of 'harto'. Means fed up/tired. Example: 'Estoy hartico de este trabajo' (I'm fed up with this job),Colombian: fed up/tired of,,basic,general,3
Hay algo que pueda hacer para ayudarte,Is there anything I can do to help you?,[sound:Hay_algo_que_pueda_hacer_para_ayudarte_37302a1a.mp3],Offer of assistance. Polite and caring. Example: '¿Hay algo que pueda hacer para ayudarte con tu problema?' (Is there anything I can do to help you with your problem?),Offer to help,,basic,general,3
Hay descuento en efectivo,There's a discount for cash / Cash discount available,[sound:Hay_descuento_en_efectivo_6ccb547c.mp3],Common in Colombian commerce. Cash often gets discount vs. card. Example: '¿Hay descuento en efectivo? Puedo pagar en billetes' (Is there a cash discount? I can pay in bills),Cash discount inquiry | Common in Colombia,,basic,general,3
Hay que cuidarnos,We have to take care of ourselves / We need to be careful,[sound:Hay_que_cuidarnos_fc2b7bd9.mp3],"Statement about needing caution/care. Can be health, safety, or relationship. Example: 'Hay que cuidarnos, usar protección' (We have to take care of ourselves, use protection)",Need for caution/care,,basic,general,3
Hay trancón,There's a traffic jam,[sound:Hay_trancón_9097c1f9.mp3],"Colombian word for traffic jam is 'trancón'. Very common in Bogotá. Example: 'Hay trancón en la 80, mejor toma otra ruta' (There's a traffic jam on 80th, better take another route)",Colombian: traffic jam,,basic,general,3
Hice algo para incomodarte,Did I do something to make you uncomfortable?,[sound:Hice_algo_para_incomodarte_fd36ce8a.mp3],Question checking if action caused discomfort. Example: '¿Hice algo para incomodarte? No era mi intención' (Did I do something to make you uncomfortable? It wasn't my intention),Checking if caused discomfort,,basic,general,3
Hice algo para que te emberracaras conmi,Did I do something to make you mad at me?,[sound:Hice_algo_para_que_te_emberracaras_conmi_357fe1f5.mp3],Colombian 'emberracarse' = get mad/angry. Example: '¿Hice algo para que te emberracaras conmigo? Estás muy callada' (Did I do something to make you mad at me? You're very quiet),Colombian: did I make you mad?,,basic,general,3
Háblame sucio,Talk dirty to me,[sound:Háblame_sucio_ed405464.mp3],Intimate/sexual request. 'Sucio' = dirty. Example used in intimate contexts for dirty talk.,Intimate: dirty talk request,,basic,general,3
Hágale pues,"Go ahead then / Sure, let's do it / Alright then",[sound:Hágale_pues_d06f8c19.mp3],"Colombian expression of agreement/encouragement. 'Hágale' = do it. Example: '¿Vamos al cine?' - 'Hágale pues' (Shall we go to the movies? - Sure, let's do it)",Colombian: agreement/encouragement,,basic,general,3
Házmelo,Do it to me,[sound:Házmelo_ec52faef.mp3],"Imperative request. Can be various contexts - sensual, or asking someone to do something for you. Example: 'Házmelo como te lo pedí' (Do it to me as I asked you)",Do it to me | Various contexts,,basic,general,3
Imposible,Impossible,[sound:Imposible_91044eec.mp3],Statement that something cannot be done. Example: 'Es imposible llegar a tiempo con este trancón' (It's impossible to arrive on time with this traffic),Cannot be done,,basic,general,3
Jaja qué risa,Haha how funny / That's so funny,[sound:Jaja_qué_risa_427ef754.mp3],"Laugh reaction. 'Qué risa' = how funny. Example: 'Jaja qué risa, me hiciste reír mucho' (Haha how funny, you made me laugh so much)",Laugh reaction,,basic,general,3
Jugamos,Let's play / We play / Should we play?,[sound:Jugamos_b339ad21.mp3],Suggestion or statement about playing. Can be games or flirtatious. Example: '¿Jugamos cartas?' (Should we play cards?) or flirty: '¿Jugamos un juego?',Play suggestion | Games or flirty,,basic,general,3
Jugamos al doctor,Let's play doctor,[sound:Jugamos_al_doctor_48613c9d.mp3],Children's game OR adult flirtatious/sexual roleplay. 'Doctor/patient' scenario. Context determines meaning. Example (adult): 'Jugamos al doctor esta noche?' (sexual roleplay),Children's game | Adult roleplay,,basic,general,3
Juntos,Together,[sound:Juntos_0f5e7196.mp3],Adverb meaning together. Example: 'Estemos juntos siempre' (Let's be together always) or 'Vamos juntos' (Let's go together),Together,,basic,general,3
Jura,Swear / Promise / Really? (seeking confirmation),[sound:Jura_faa98b66.mp3],Imperative 'swear it' or question 'really?'. Example: '¿Jura que es verdad?' (Swear it's true?) or 'Jura que me quieres' (Swear you love me),Swear/promise | Seeking confirmation,,basic,general,3
Justo ahí,Right there / Just there / Exactly there,[sound:Justo_ahí_9ea170d3.mp3],"Precise location indication. Example: 'Ponlo justo ahí' (Put it right there) or sensual: 'Justo ahí, no pares' (Right there, don't stop)",Precise location | Can be sensual,,basic,general,3
La estamos pasando bien,We're having a good time,[sound:La_estamos_pasando_bien_bac2bd1d.mp3],Statement about enjoying current activity. Example: 'La estamos pasando bien en esta fiesta' (We're having a good time at this party),Having a good time,,basic,general,3
La propina está incluida,The tip is included / Gratuity included,[sound:La_propina_está_incluida_4ba805f6.mp3],"Restaurant information. In Colombia, tip sometimes included in bill. Example: '¿La propina está incluida o la dejamos aparte?' (Is the tip included or do we leave it separately?)",Tip/gratuity included,,basic,general,3
La próxima semana,Next week,[sound:La_próxima_semana_6307d88e.mp3],Future time reference. Example: 'La próxima semana tengo vacaciones' (Next week I have vacation),Next week time reference,,basic,general,3
La próxima vez duramos más,Next time we'll last longer / Next time we'll stay longer,[sound:La_próxima_vez_duramos_más_aa438dc9.mp3],Promise for future. Can mean stay longer at place OR sexual context (last longer). Example: 'La próxima vez duramos más en la fiesta' (Next time we'll stay longer at the party),Stay/last longer next time,,basic,general,3
Listica para el día,Ready for the day (feminine diminutive),[sound:Listica_para_el_día_4cb16401.mp3],"Colombian feminine diminutive. 'Listica' = ready (cute form). Example: 'Ya estoy listica para el día, vamos' (I'm already ready for the day, let's go)",Colombian feminine: ready for day,,basic,general,3
Llave,Key / Dude / Bro (Colombian slang),[sound:Llave_4a9de083.mp3],"Literal: key. Colombian slang: bro/dude (like 'parce', 'parcero'). Example: 'Qué más, llave' (What's up, bro)",Key | Colombian slang: bro/dude,,basic,general,3
Llegaste bien a casa,Did you get home okay? / You arrived home safely,[sound:Llegaste_bien_a_casa_3a341988.mp3],Caring question about safe arrival. Colombian custom to check. Example: '¿Llegaste bien a casa? Avísame' (Did you get home okay? Let me know),Checking safe arrival home,,basic,general,3
Llevemos agua y bloqueador,Let's bring water and sunscreen,[sound:Llevemos_agua_y_bloqueador_bb3569db.mp3],Beach/outdoor preparation. 'Bloqueador' = sunscreen. Example: 'Llevemos agua y bloqueador para la playa' (Let's bring water and sunscreen for the beach),Beach/outdoor preparation items,,basic,general,3
Llevemos bloqueador y agua,Let's bring sunscreen and water,[sound:Llevemos_bloqueador_y_agua_33f0a512.mp3],"Same as above, different word order. Beach/outdoor essentials. Example: 'Hace mucho sol, llevemos bloqueador y agua' (It's very sunny, let's bring sunscreen and water)",Beach/outdoor essentials,,basic,general,3
Lo importante es que estés bien,The important thing is that you're okay,[sound:Lo_importante_es_que_estés_bien_b06b3f92.mp3],"Caring statement prioritizing someone's wellbeing. Example: 'Lo importante es que estés bien, lo demás no importa' (The important thing is that you're okay, the rest doesn't matter)",Prioritizing someone's wellbeing,,basic,general,3
Lo tienes en otro color,Do you have it in another color?,[sound:Lo_tienes_en_otro_color_038d542d.mp3],"Shopping question. Example: 'Me gusta esta camisa, ¿lo tienes en otro color?' (I like this shirt, do you have it in another color?)",Shopping: asking for different color,,basic,general,3
Marica,Dude / Bro / Damn (Colombian slang),[sound:Marica_68a9d26e.mp3],"VERY common Colombian slang. Literally anti-gay slur BUT in Colombia used as 'dude/bro' among friends (non-offensive in this context). Tone matters. Example: 'Marica, qué chimba!' (Dude, how awesome!) Use with caution if non-Colombian.",Colombian slang: dude/bro | Use with caution,,basic,general,3
Me avisas si algo,Let me know if anything / Hit me up if anything,[sound:Me_avisas_si_algo_af281643.mp3],"Open offer to help/be available. Example: 'Me avisas si algo pasa, estoy pendiente' (Let me know if anything happens, I'm watching out)",Let me know | Open offer to help,,basic,general,3
Me cayó bien,I liked them / They seemed nice / They made a good impression,[sound:Me_cayó_bien_29a18b24.mp3],Positive first impression. 'Caer bien' = to like someone (their personality). Example: 'Tu amigo me cayó muy bien' (I really liked your friend),Positive first impression,,basic,general,3
Me cobra,Charge me / How much do you charge? / What do I owe you?,[sound:Me_cobra_080496d4.mp3],"Asking for price/bill. Example: '¿Me cobra, por favor?' (Can you charge me, please? / What's the bill?) or 'Cuánto me cobra?' (How much do you charge me?)",Asking for bill/price,,basic,general,3
Me complementas,You complement me / You complete me,[sound:Me_complementas_be7c69c9.mp3],"Romantic statement about compatibility. Example: 'Me complementas perfecto, eres mi otra mitad' (You complement me perfectly, you're my other half)",Romantic: you complete me,,basic,general,3
Me da igual tú eliges,"I don't mind, you choose / It's the same to me, you decide",[sound:Me_da_igual_tú_eliges_b9091d79.mp3],"Deferring choice to other person. Example: 'Me da igual tú eliges el restaurante, yo me adapto' (I don't mind, you choose the restaurant, I'll adapt)",Informal/intimate | Deferring choice,,basic,general,3
Me das un pico,Give me a kiss (Colombian slang),[sound:Me_das_un_pico_fc88278d.mp3],Colombian slang. 'Pico' = kiss/peck. Example: 'Dame un pico antes de irte' (Give me a kiss before you go),Colombian: give me a kiss,,basic,general,3
Me das una probadita,Give me a little taste / Let me try a bit,[sound:Me_das_una_probadita_386104da.mp3],Request to taste food. 'Probadita' = diminutive of 'taste'. Example: '¿Me das una probadita de tu helado?' (Give me a little taste of your ice cream?),Request to taste food,,basic,general,3
Me dejaste sin fuerzas,You left me without strength / You wore me out,[sound:Me_dejaste_sin_fuerzas_9e6a9a0e.mp3],Statement of exhaustion (often post-exercise or post-sex). Example: 'Ese ejercicio me dejó sin fuerzas' or intimate: 'Me dejaste sin fuerzas esta noche',Left exhausted | Exercise or intimate,,basic,general,3
Me derrites,You melt me,[sound:Me_derrites_8cfdd2c9.mp3],Romantic expression of being moved/affected by someone. Example: 'Me derrites cuando me miras así' (You melt me when you look at me like that),Romantic: you move/affect me deeply,,basic,general,3
Me derrites más rápido que el queso en u,You melt me faster than cheese on an arepa,[sound:Me_derrites_más_rápido_que_el_queso_en_u_5e600d31.mp3],Colombian food metaphor. Arepas with melted cheese = delicious. Romantic/playful. Example: 'Me derrites más rápido que el queso en una arepa caliente',Colombian romantic food metaphor,,basic,general,3
Me encanta,I love it / I really like it,[sound:Me_encanta_fb31d2ca.mp3],Strong liking/love for something. 'Encantar' = to enchant/delight. Example: 'Me encanta este lugar' (I love this place) or 'Me encanta cuando sonríes' (I love when you smile),Strong liking/love,,basic,general,3
Me encanta cómo me haces sentir,I love how you make me feel,[sound:Me_encanta_cómo_me_haces_sentir_cb521ce8.mp3],"Romantic appreciation of emotional effect. Example: 'Me encanta cómo me haces sentir, nunca había sentido esto' (I love how you make me feel, I'd never felt this before)",Romantic: appreciation of feelings,,basic,general,3
Me encanta tu cuerpo,I love your body,[sound:Me_encanta_tu_cuerpo_e3b7ccc1.mp3],"Physical attraction statement. Direct compliment. Example: 'Me encanta tu cuerpo, eres hermosa' (I love your body, you're beautiful)",Physical attraction compliment,,basic,general,3
Me encanta tu sonrisa,I love your smile,[sound:Me_encanta_tu_sonrisa_63595b79.mp3],"Sweet compliment. Example: 'Me encanta tu sonrisa, ilumina mi día' (I love your smile, it lights up my day)",Sweet smile compliment,,basic,general,3
Me encantas,I love you / You enchant me / I really like you,[sound:Me_encantas_8cd93068.mp3],'Encantar' applied to person. Romantic/strong liking. Example: 'Me encantas tal como eres' (I love you just as you are),Romantic liking/love for person,,basic,general,3
Me encantas tal cual eres,I love you just as you are,[sound:Me_encantas_tal_cual_eres_0bd1ea3a.mp3],"Acceptance statement. 'Tal cual' = just as/exactly how. Example: 'Me encantas tal cual eres, no cambies nada' (I love you just as you are, don't change anything)",Romantic acceptance statement,,basic,general,3
Me explico,Do I make myself clear? / Am I explaining myself well?,[sound:Me_explico_3473e79c.mp3],"Checking if explanation is understood. Example: 'Es así como funciona, ¿me explico?' (It works like this, do I make myself clear?)",Checking if understood,,basic,general,3
Me extrañaste o solo a mi cuerpo,Did you miss me or just my body?,[sound:Me_extrañaste_o_solo_a_mi_cuerpo_b8403bea.mp3],Question distinguishing emotional vs. physical attraction. Example: '¿Me extrañaste o solo a mi cuerpo? Quiero saber' (Did you miss me or just my body? I want to know),Emotional vs physical question,,basic,general,3
Me fascina,I'm fascinated / I love it / It fascinates me,[sound:Me_fascina_377fca4e.mp3],Strong attraction/fascination. Similar to 'me encanta' but more intense. Example: 'Me fascina tu forma de pensar' (I'm fascinated by the way you think),Strong fascination/love,,basic,general,3
Me fascina escucharte,I love listening to you / I'm fascinated listening to you,[sound:Me_fascina_escucharte_b9f89ff8.mp3],"Compliment about enjoying someone's voice/words. Example: 'Me fascina escucharte hablar, tienes una voz hermosa' (I love listening to you talk, you have a beautiful voice)",Enjoying listening to someone,,basic,general,3
Me haces falta,I miss you,[sound:Me_haces_falta_cc9d05d1.mp3],"Literally 'you are missing to me'. Colombian way to express missing someone. Example: 'Me haces mucha falta, vuelve pronto' (I miss you so much, come back soon)",Colombian: I miss you,,basic,general,3
Me haces feliz,You make me happy,[sound:Me_haces_feliz_e26f5ee8.mp3],Direct expression of happiness caused by someone. Example: 'Me haces feliz solo con estar a mi lado' (You make me happy just by being by my side),You bring me happiness,,basic,general,3
Me haces mucha falta,I miss you so much / I really miss you,[sound:Me_haces_mucha_falta_0f3e0f89.mp3],"Intensified version of 'me haces falta'. Example: 'Me haces mucha falta, no puedo estar sin ti' (I miss you so much, I can't be without you)",Intense missing someone,,basic,general,3
Me haces sentir especial,You make me feel special,[sound:Me_haces_sentir_especial_ab7a871a.mp3],Appreciation for how someone treats you. Example: 'Me haces sentir especial con cada detalle' (You make me feel special with every detail),Appreciation for treatment,,basic,general,3
Me haces sonreír sin darme cuenta,You make me smile without realizing it,[sound:Me_haces_sonreír_sin_darme_cuenta_e9dedc70.mp3],"Involuntary happiness caused by someone. Example: 'Me haces sonreír sin darme cuenta, eso es amor' (You make me smile without realizing it, that's love)",Involuntary happiness,,basic,general,3
Me haces un favor,Do me a favor / Will you do me a favor?,[sound:Me_haces_un_favor_0dc40b03.mp3],Request for help/favor. Example: '¿Me haces un favor? Necesito ayuda con esto' (Will you do me a favor? I need help with this),Requesting a favor,,basic,general,3
Me llegó el periodo,I got my period / My period came,[sound:Me_llegó_el_periodo_d19b9497.mp3],"Menstruation statement. 'Periodo' = period. Example: 'No puedo ir a la piscina, me llegó el periodo' (I can't go to the pool, I got my period)",Menstruation statement,,basic,general,3
Me lo guardas un momentico,Hold this for me for a moment / Can you keep this for me a sec?,[sound:Me_lo_guardas_un_momentico_70e15408.mp3],Request to hold something briefly. Colombian diminutive. Example: '¿Me lo guardas un momentico mientras voy al baño?' (Can you hold this for me a moment while I go to the bathroom?),Request to hold something briefly,,basic,general,3
Me pones,You turn me on / You get me going,[sound:Me_pones_60a80f5c.mp3],Sexual/romantic attraction statement. 'Poner' = to put/turn on. Example: 'Me pones cuando me miras así' (You turn me on when you look at me like that),Sexual/romantic attraction,,basic,general,3
Me provocas,You provoke me / You tempt me / You turn me on,[sound:Me_provocas_4a662d1f.mp3],Temptation/provocation statement. Example: 'Me provocas con esa ropa' (You provoke me with those clothes) or 'Me provocas un helado' (I'm tempted by ice cream),Temptation/provocation,,basic,general,3
Me sacaste la lotería,You won the lottery with me / You hit the jackpot,[sound:Me_sacaste_la_lotería_9c2bbd09.mp3],"Playful/confident statement about being a catch. Example: 'Me sacaste la lotería conmigo, soy el mejor' (You hit the jackpot with me, I'm the best)",Playful: you're lucky to have me,,basic,general,3
Me subes la temperatura,You raise my temperature / You heat me up,[sound:Me_subes_la_temperatura_c09bc2d7.mp3],Flirtatious statement about arousal/excitement. Example: 'Me subes la temperatura cuando bailas así' (You raise my temperature when you dance like that),Flirty: you arouse/excite me,,basic,general,3
Me tienes mal,You have me bad / You've got me hooked / I'm crazy about you,[sound:Me_tienes_mal_744da3e8.mp3],"Colombian expression of being smitten/obsessed (positive). Example: 'Me tienes mal, no paro de pensar en ti' (You've got me bad, I can't stop thinking about you)",Colombian: smitten/obsessed (positive),,basic,general,3
Me toca a mí,It's my turn / I have to,[sound:Me_toca_a_mí_85ba2a3f.mp3],Two meanings: 1) My turn in game/activity 2) I have to/must. Example: 'Me toca a mí jugar' (It's my turn to play) or 'Me toca a mí pagar esta vez' (I have to pay this time),My turn | I have to,,basic,general,3
Me tomas la temperatura,Take my temperature / Check my temperature,[sound:Me_tomas_la_temperatura_20b907d3.mp3],"Medical request OR flirtatious 'doctor' roleplay. Example (medical): 'Me siento mal, me tomas la temperatura?' or (flirty): 'Doctor, me tomas la temperatura?'",Medical or flirty temperature check,,basic,general,3
Me vengo,I'm coming (sexual) / I'm leaving/going,[sound:Me_vengo_c9c6e668.mp3],Two meanings: 1) Sexual climax 2) I'm leaving/going. Context crucial. Example: 'Me vengo contigo al cine' (I'm coming with you to the movies) vs. intimate context.,Sexual climax | Or: I'm leaving,,basic,general,3
Me vuelves loca,You drive me crazy (feminine),[sound:Me_vuelves_loca_4d1dff33.mp3],Romantic/attraction statement (feminine speaker). Example: 'Me vuelves loca cuando me besas' (You drive me crazy when you kiss me),Drive me crazy (feminine),,basic,general,3
Me vuelves loco,You drive me crazy (masculine),[sound:Me_vuelves_loco_9ad3064a.mp3],Romantic/attraction statement (masculine speaker). Example: 'Me vuelves loco con tu sonrisa' (You drive me crazy with your smile),Drive me crazy (masculine),,basic,general,3
Me vuelves locoloca,You drive me crazy,[sound:Me_vuelves_locoloca_2a50106f.mp3],"Gender-neutral version. Romantic/attraction. Example: 'Me vuelves loco/loca, no puedo dejar de pensar en ti' (You drive me crazy, I can't stop thinking about you)",Drive me crazy (gender neutral),,basic,general,3
Mejor otro día,Better another day / Let's do it another day,[sound:Mejor_otro_día_aa528f35.mp3],"Polite postponement. Example: 'Estoy cansado, mejor otro día vamos' (I'm tired, better another day we go)",Polite postponement,,basic,general,3
Mentiras,Lies / No way / You're kidding,[sound:Mentiras_1741d6d1.mp3],Can mean literal lies OR disbelief/surprise. Example: '¿Ganaste la lotería?' - '¡Mentiras! ¿En serio?' (You won the lottery? - No way! Really?),Lies | Disbelief reaction,,basic,general,3
Mi cielo,My sky / My heaven (term of endearment),[sound:Mi_cielo_6f474b6f.mp3],"Romantic term of endearment. 'Cielo' = sky/heaven. Example: 'Hola mi cielo, cómo estás?' (Hi my heaven, how are you?)",Term of endearment: my heaven,,basic,general,3
Mi regalo de cumpleaños adelantado,My early birthday present,[sound:Mi_regalo_de_cumpleaños_adelantado_2ff27fc7.mp3],Referring to gift received before birthday. Example: 'Esto es mi regalo de cumpleaños adelantado? Gracias!' (This is my early birthday present? Thanks!),Early birthday gift,,basic,general,3
Mi reina,My queen,[sound:Mi_reina_5deae782.mp3],Romantic term of endearment. Example: 'Buenos días mi reina hermosa' (Good morning my beautiful queen),Term of endearment: my queen,,basic,general,3
Mico,Monkey / Fool (Colombian slang),[sound:Mico_5648db75.mp3],Literal: monkey. Colombian slang: fool/silly person. Example: 'No seas mico' (Don't be a fool) or 'Es un mico' (He's a monkey/fool),Monkey | Colombian: fool/silly,,basic,general,3
Mil,"One thousand / 1,000",[sound:Mil_e26051e1.mp3],"The number 1,000. Example: 'Mil pesos' (1,000 pesos - about $0.25 USD in 2025)","Number 1,000",,basic,general,3
Mil pesos,"One thousand pesos / 1,000 pesos",[sound:Mil_pesos_86d6522e.mp3],"Currency amount. ~$0.25 USD (2025). Very small amount. Example: 'Esto cuesta mil pesos' (This costs 1,000 pesos)","1,000 pesos | ~$0.25 USD",,basic,general,3
Mitad,Half / Middle,[sound:Mitad_62d82ba4.mp3],Half or middle. Example: 'La mitad de la pizza' (Half of the pizza) or 'En la mitad del camino' (In the middle of the way),Half | Middle,,basic,general,3
Multa por exceso de belleza,Fine for excessive beauty,[sound:Multa_por_exceso_de_belleza_7862671b.mp3],Flirtatious pickup line. Playful complaint about being too attractive. Example: 'Te van a poner multa por exceso de belleza' (They're going to fine you for excessive beauty),Flirty pickup line,,basic,general,3
Muérdeme,Bite me,[sound:Muérdeme_88c6ca1f.mp3],Imperative. Can be defiant/challenging OR sensual/intimate. Context matters. Example (intimate): 'Muérdeme suave' (Bite me gently),Bite me | Defiant or sensual,,basic,general,3
Más abajo,Lower / Further down / Down below,[sound:Más_abajo_6af8d659.mp3],Direction: lower/downward. Example: 'Más abajo en la calle' (Further down the street) or sensual: 'Más abajo' (Lower/down there),Lower/further down,,basic,general,3
Más arriba,Higher / Further up / Up above,[sound:Más_arriba_aceba646.mp3],Direction: higher/upward. Example: 'Más arriba en el edificio' (Higher up in the building),Higher/further up,,basic,general,3
Más despacio,Slower / More slowly,[sound:Más_despacio_7418cd25.mp3],"Request to slow down. Example: 'Habla más despacio, no entiendo' (Speak slower, I don't understand) or intimate: 'Más despacio, por favor' (Slower, please)",Slower | Various contexts,,basic,general,3
Más duro,Harder / Stronger,[sound:Más_duro_4c81fcd1.mp3],Request for more intensity. Example: 'Dale más duro al ejercicio' (Go harder at the exercise) or intimate context.,Harder/stronger | Various contexts,,basic,general,3
Más más más,More more more,[sound:Más_más_más_4fe31fcf.mp3],"Repetition for emphasis. Wanting more of something. Example: 'Más más más, no pares' (More more more, don't stop)",Emphatic: more,,basic,general,3
Más o menos,More or less / So-so,[sound:Más_o_menos_1330eab9.mp3],Approximate/middling response. Example: '¿Cómo estás?' - 'Más o menos' (How are you? - So-so),So-so | Approximately,,basic,general,3
Más rápido,Faster / More quickly,[sound:Más_rápido_41dbbe4e.mp3],"Request to speed up. Example: 'Camina más rápido que llegamos tarde' (Walk faster, we're running late) or various contexts.",Faster | Various contexts,,basic,general,3
Métemelo,Put it in me,[sound:Métemelo_ea659f64.mp3],Primarily sexual/intimate meaning. Direct request. Context can occasionally be non-sexual (putting object somewhere) but usually intimate.,Intimate: put it in | Usually sexual,,basic,general,3
Nadie te hace sentir como yo,Nobody makes you feel like I do,[sound:Nadie_te_hace_sentir_como_yo_fec83ae6.mp3],"Confident romantic statement. Example: 'Nadie te hace sentir como yo, lo sabes' (Nobody makes you feel like I do, you know it)",Confident romantic claim,,basic,general,3
Necesitas algo,Do you need anything? / Do you need something?,[sound:Necesitas_algo_31cf950f.mp3],Offer of help/assistance. Example: '¿Necesitas algo? Estoy aquí para ayudarte' (Do you need anything? I'm here to help you),Offer of help,,basic,general,3
Necesito hacer ejercicio,I need to exercise / I need to work out,[sound:Necesito_hacer_ejercicio_e0570b19.mp3],"Statement about need for exercise. Can be literal or euphemism. Example: 'Necesito hacer ejercicio, estoy muy sedentario' (I need to exercise, I'm very sedentary)",Need for exercise | Literal or euphemism,,basic,general,3
Necesito un doctordoctora,I need a doctor,[sound:Necesito_un_doctordoctora_84ace0de.mp3],"Medical need OR flirtatious roleplay reference. Example (medical): 'Me siento mal, necesito un doctor' or (flirty): 'Necesito un doctor, tengo fiebre'",Medical need | Can be flirty,,basic,general,3
Necesito una pastica,I need a little pill,[sound:Necesito_una_pastica_657ff983.mp3],"Colombian diminutive. Asking for medicine/pill. 'Pastica' = diminutive of 'pastilla' (pill). Example: 'Me duele la cabeza, necesito una pastica' (My head hurts, I need a little pill)",Colombian: need medicine/pill,,basic,general,3
